Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
,,1.0,,,,7,25.0,,-2.0,0.0,0.01,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10045
,,1.0,,,,7,25.0,,-2.0,0.0,0.01,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10046
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10047
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10048
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10049
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10050
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10051
,,1.0,,,,5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10052
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10053
1.112,,1.0,1.4633333333333336,,,5.0,25.0,,0.4440447959180762,2.949390006644913,2.78,890.0,1.6020599913279625,40.0,,,,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10054
40.0,,1.0,1.4633333333333336,,,5.0,25.0,,0.3979400086720376,2.204119982655925,2.5,160.0,1.0461047872460387,11.12,,,,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10055
,,1.0,,,,6,27.0,,,,,,-0.4814860601221125,0.33,,,,,,,,,,,,,,,,,,83.0,29.5,40.5,,,8.98550925925926,6.0,-0.5042548357902157,0.159973721120165,,10056
