Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,id
0.05,0.001,peroxidase,2.55,0.3,0.0,4.5,37.0,3.0,-3.0,-1.0,0.001,0.1,-1.0,0.1,-2.0,0.01,6.0,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10029
6.64,0.000107,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,-1.0,0.1,,,0.6365628132118734,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10030
0.52,0.0002339999999999,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,1.0,10.0,,,0.6365628132118734,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10031
15.85,1.6499999999999998e-05,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,-1.0,0.1,,,0.6365628132118734,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10032
1.71,0.000175,peroxidase,2.44,1.3966666666666665,-0.023999999999999997,4.0,25.0,3.0,,,,,1.0,10.0,,,0.6365628132118734,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10033
0.033,25.69,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,2.0969100130080562,125.0,,,2.0437237121267615,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10034
91.29,34.05,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,-0.9030899869919435,0.125,,,2.0437237121267615,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10035
0.045,40.68,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,2.0969100130080562,125.0,,,2.1227105282938092,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10036
63.86,41.63,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,-0.9030899869919435,0.125,,,2.1227105282938092,,,,,,,,,,,,,,,,40.5,52.0,,,6.0,5.992738620139414,-0.254557430614467,-0.254557430614467,,10037
0.04,22.83,peroxidase,2.2,0.73,0.0,4.0,20.0,3.0,,,,,2.0969100130080562,125.0,,,2.0437237121267615,,,,,,,,,,,,,,,226.0,52.0,40.5,,,5.992738620139414,6.0,-0.39829862998965665,0.03733732813242442,,10038
